Samples,Prior Sampling,Rejection Sampling,Likelihood Weighting
10,0.0,0.99,0.0
50,0.0,0.998,0.0
100,0.0,0.999,0.0
200,0.0,0.998,0.0
500,0.0002,0.9974000000000001,1.000000000000001e-05
1000,0.0,0.9975999999999999,0.0
10000,0.0,0.99766,2.400000000000002e-06
Exact Inference,1.0,1.0,1.0
