Samples,Prior Sampling,Rejection Sampling,Likelihood Weighting
10,0.0,0.04,0.0
50,0.0,0.041999999999999996,0.0018000000000000002
100,0.001,0.041999999999999996,0.0
200,0.0,0.054000000000000006,0.00045000000000000004
500,0.0006000000000000001,0.0498,0.00108
1000,0.0007,0.0486,0.0009
10000,0.00054,0.050780000000000006,0.0005580000000000001
Exact Inference,1.0,1.0,1.0
